image_path,user_id,vehicle_location,user_location,label
data\face\lfw-deepfunneled/Ana_Guevara/Ana_Guevara_0002.jpg,73,40.69352500596744;-73.91166662996129,40.71281683628204;-74.00599252635423,0
data\face\lfw-deepfunneled/Sylvester_Stallone/Sylvester_Stallone_0009.jpg,1530,40.69070440495156;-74.21547883762948,40.758117148059206;-73.98560087518017,0
data\face\lfw-deepfunneled/Tim_Robbins/Tim_Robbins_0003.jpg,1565,40.74874179380581;-73.96807592193682,40.7135147436165;-74.00911944992338,0
data\face\lfw-deepfunneled/Ariel_Sharon/Ariel_Sharon_0059.jpg,111,40.749150847713686;-73.96781604959713,40.749058193772136;-73.96775995269607,1
data\face\lfw-deepfunneled/Dick_Cheney/Dick_Cheney_0002.jpg,378,40.71415998865975;-74.00750093042086,40.74892139532952;-73.96792338933464,0
data\face\lfw-deepfunneled/Ron_Dittemore/Ron_Dittemore_0006.jpg,1412,40.71284916783905;-74.00595434424157,40.74729856935593;-73.96821356922753,0
data\face\lfw-deepfunneled/Walter_Mondale/Walter_Mondale_0010.jpg,1633,40.71364451304228;-74.00755230472593,40.71355266882635;-74.00762030130507,1
data\face\lfw-deepfunneled/Joschka_Fischer/Joschka_Fischer_0006.jpg,825,40.74920000364657;-73.96738370019185,40.74922529155548;-73.96733682500204,1
data\face\lfw-deepfunneled/Frank_Dunham_Jr/Frank_Dunham_Jr_0002.jpg,487,40.60725267362699;-74.08630156219755,40.607372251204175;-74.08641896550066,1
data\face\lfw-deepfunneled/Terrell_Suggs/Terrell_Suggs_0001.jpg,1541,40.712805102044335;-74.00615769504836,40.74892586393336;-73.96780538631933,0
data\face\lfw-deepfunneled/Abdoulaye_Wade/Abdoulaye_Wade_0001.jpg,3,40.758138941080674;-73.98526685849458,40.75803407992122;-73.98522030819097,1
data\face\lfw-deepfunneled/Andrew_Niccol/Andrew_Niccol_0001.jpg,82,40.75842411045657;-73.98590887853568,40.75073330501931;-73.97126148534613,0
data\face\lfw-deepfunneled/Dalai_Lama/Dalai_Lama_0001.jpg,324,40.75840869343602;-73.98841386128645,40.75845147393949;-73.98855003976148,1
data\face\lfw-deepfunneled/Eliane_Karp/Eliane_Karp_0004.jpg,422,40.71259462597198;-74.00619976890711,40.607372251204175;-74.08641896550066,0
data\face\lfw-deepfunneled/Keanu_Reeves/Keanu_Reeves_0001.jpg,876,40.75799779031231;-73.98548627982184,40.71208387918804;-74.00487382117161,0
data\face\lfw-deepfunneled/Fred_Thompson/Fred_Thompson_0001.jpg,498,40.75865979784909;-73.98703373585738,40.75852769578867;-73.98708394716756,1
data\face\lfw-deepfunneled/George_W_Bush/George_W_Bush_0132.jpg,532,40.748643087268135;-73.9678989195451,40.748812666322;-73.96780878062019,1
data\face\lfw-deepfunneled/Jose_Manuel_Durao_Barroso/Jose_Manuel_Durao_Barroso_0004.jpg,828,40.7490882723509;-73.96772009935134,40.74903809440472;-73.96771818093939,1
data\face\lfw-deepfunneled/Silvio_Berlusconi/Silvio_Berlusconi_0012.jpg,1491,40.623753064284905;-74.25220649544147,40.71185755177945;-74.00674635874746,0
data\face\lfw-deepfunneled/Jan-Michael_Gambill/Jan-Michael_Gambill_0001.jpg,681,40.903685469896246;-73.91864391079508,40.71566498073452;-74.00357058176684,0
data\face\lfw-deepfunneled/Andrew_Niccol/Andrew_Niccol_0002.jpg,82,40.712559627589954;-74.00558058181642,40.71276370964592;-74.00564171206571,1
data\face\lfw-deepfunneled/Carmen_Electra/Carmen_Electra_0006.jpg,234,40.71282073876896;-74.00796663050674,40.71286224951799;-74.00782528233854,1
data\face\lfw-deepfunneled/Fujio_Cho/Fujio_Cho_0006.jpg,500,40.7508487059369;-73.96900514347104,40.75091214796306;-73.96903913228655,1
data\face\lfw-deepfunneled/Ricardo_Lagos/Ricardo_Lagos_0006.jpg,1333,40.74890579797398;-73.96796657465174,40.53204229380204;-74.19229984370338,0
data\face\lfw-deepfunneled/Ethan_Hawke/Ethan_Hawke_0002.jpg,457,40.71130038771366;-74.0068381478894,40.71127324539041;-74.00678089126652,1
data\face\lfw-deepfunneled/Oleksandr_Moroz/Oleksandr_Moroz_0001.jpg,1209,40.74958353054337;-73.9670053511299,40.71423791925694;-74.00464484170627,0
data\face\lfw-deepfunneled/Terry_McAuliffe/Terry_McAuliffe_0003.jpg,1542,40.74905546647719;-73.96767233511368,40.749041031232856;-73.96775379258098,1
data\face\lfw-deepfunneled/Franz_Beckenbauer/Franz_Beckenbauer_0001.jpg,493,40.748967599764626;-73.96799973883554,40.748788380339406;-73.96791699473721,1
data\face\lfw-deepfunneled/Donald_Rumsfeld/Donald_Rumsfeld_0036.jpg,392,40.71111306442754;-74.00461910263593,40.748907865549576;-73.96792952910936,0
data\face\lfw-deepfunneled/George_W_Bush/George_W_Bush_0194.jpg,532,40.905507687466034;-73.78460816538073,40.749018264657934;-73.9681226578632,0
data\face\lfw-deepfunneled/Hamid_Karzai/Hamid_Karzai_0011.jpg,584,40.710813821995636;-74.00555849833579,40.71082957459426;-74.00560467988913,1
data\face\lfw-deepfunneled/Lleyton_Hewitt/Lleyton_Hewitt_0016.jpg,980,40.76595204535407;-74.18796272997614,40.76580037450895;-74.18793151570257,1
data\face\lfw-deepfunneled/Ken_Macha/Ken_Macha_0001.jpg,883,40.71112909598477;-74.0061733049197,40.71100286576698;-74.00625296280298,1
data\face\lfw-deepfunneled/Ana_Palacio/Ana_Palacio_0005.jpg,74,40.77067557842307;-74.10564308644149,40.77066769135063;-74.10566266845177,1
data\face\lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0016.jpg,1108,40.7578210841461;-73.98514371534759,40.71452314838144;-74.00582469592649,0
data\face\lfw-deepfunneled/Len_Jenoff/Len_Jenoff_0002.jpg,950,40.7589881110794;-73.98335748498792,40.75905251442423;-73.98322820784588,1
data\face\lfw-deepfunneled/Gordon_Campbell/Gordon_Campbell_0002.jpg,556,40.74908410494416;-73.96803605061379,40.75804259798645;-73.9856392077133,0
data\face\lfw-deepfunneled/Christine_Todd_Whitman/Christine_Todd_Whitman_0001.jpg,286,40.75763949002082;-73.98531959579375,40.71277239326832;-74.00589668797689,0
data\face\lfw-deepfunneled/Tom_Ridge/Tom_Ridge_0018.jpg,1579,40.71434033285538;-74.0063589451652,40.757866397099455;-73.98575857367385,0
data\face\lfw-deepfunneled/Donatella_Versace/Donatella_Versace_0002.jpg,393,40.6728651260965;-74.19716101260515,40.840730306258585;-74.26187856654565,0
data\face\lfw-deepfunneled/Ed_Rosenthal/Ed_Rosenthal_0002.jpg,404,40.71292090021341;-74.00591985606495,40.75792674669548;-73.98577486368677,0
data\face\lfw-deepfunneled/Janet_Napolitano/Janet_Napolitano_0001.jpg,686,40.75261323890084;-73.78927556873316,40.75833298089621;-73.98528783559811,0
data\face\lfw-deepfunneled/Scott_Rudin/Scott_Rudin_0002.jpg,1457,40.74933016116857;-73.96822080791803,40.758362128491136;-73.98544557823426,0
data\face\lfw-deepfunneled/Gerhard_Schroeder/Gerhard_Schroeder_0048.jpg,537,40.75894884587108;-73.9872249888188,40.74880937322438;-73.96808464829171,0
data\face\lfw-deepfunneled/Alex_Barros/Alex_Barros_0001.jpg,44,40.747789103612405;-73.96740870525373,40.747937811851855;-73.96731747890793,1
data\face\lfw-deepfunneled/Tom_Crean/Tom_Crean_0001.jpg,1571,40.70962462465948;-74.18360362626596,40.71292090021341;-74.00591985606495,0
data\face\lfw-deepfunneled/Tony_Blair/Tony_Blair_0129.jpg,1588,40.713082267797944;-74.00598269360833,40.71314502990189;-74.00587207411962,1
data\face\lfw-deepfunneled/Angelo_Reyes/Angelo_Reyes_0001.jpg,90,40.74890827209161;-73.96799560506771,40.75797847782173;-73.98466375724907,0
data\face\lfw-deepfunneled/George_W_Bush/George_W_Bush_0131.jpg,532,40.71177975588254;-74.00546153539871,40.71179346545386;-74.00554483287361,1
data\face\lfw-deepfunneled/George_W_Bush/George_W_Bush_0434.jpg,532,40.7584888964967;-73.98301424498315,40.71295605920303;-74.00600543139839,0
data\face\lfw-deepfunneled/Kofi_Annan/Kofi_Annan_0014.jpg,908,40.7478619361759;-73.96713881053489,40.747937811851855;-73.96731747890793,1
data\face\lfw-deepfunneled/Donald_Rumsfeld/Donald_Rumsfeld_0064.jpg,392,40.7581604590005;-73.9859280921431,40.7582546877805;-73.98583466808157,1
data\face\lfw-deepfunneled/Mike_Weir/Mike_Weir_0010.jpg,1135,40.74905777293849;-73.96808495151225,40.74895417336881;-73.96800081100093,1
data\face\lfw-deepfunneled/Rafael_Ramirez/Rafael_Ramirez_0001.jpg,1313,40.75046835675252;-73.96851321256891,40.75827563639555;-73.98507615947513,0
data\face\lfw-deepfunneled/David_Trimble/David_Trimble_0003.jpg,353,40.74539664091375;-73.96874894585936,40.75796706370944;-73.98549271319536,0
data\face\lfw-deepfunneled/Alberto_Ruiz_Gallardon/Alberto_Ruiz_Gallardon_0002.jpg,36,40.75963861109744;-73.98590438210802,40.71442446805903;-74.00574929118018,0
data\face\lfw-deepfunneled/John_Garamendi/John_Garamendi_0002.jpg,777,40.73949696681966;-74.28954167269877,40.71278800160373;-74.00596314416138,0
data\face\lfw-deepfunneled/Habib_Rizieq/Habib_Rizieq_0002.jpg,580,40.71365188333877;-74.00572758640062,40.758006075816006;-73.98550437456251,0
data\face\lfw-deepfunneled/Jeb_Bush/Jeb_Bush_0007.jpg,712,40.76143508798362;-73.98771223910298,40.76135545812816;-73.98761916633471,1
data\face\lfw-deepfunneled/Mahmoud_Abbas/Mahmoud_Abbas_0008.jpg,1007,40.71291582870027;-74.00534659903857,40.7129244446876;-74.0051364807162,1
data\face\lfw-deepfunneled/Robert_Blake/Robert_Blake_0001.jpg,1376,40.74835803415705;-73.96809627624194,40.71316448266555;-74.00553317615308,0
data\face\lfw-deepfunneled/Yukiko_Okudo/Yukiko_Okudo_0001.jpg,1669,40.71291836162025;-74.00542034787917,40.7127625302389;-74.00530152598719,1
data\face\lfw-deepfunneled/Li_Peng/Li_Peng_0001.jpg,962,40.71324489922412;-74.00606212560803,40.71314502990189;-74.00587207411962,1
data\face\lfw-deepfunneled/Ken_Watanabe/Ken_Watanabe_0001.jpg,884,40.749274312911155;-73.96779993565761,40.74914265259984;-73.96781817843562,1
data\face\lfw-deepfunneled/Queen_Beatrix/Queen_Beatrix_0003.jpg,1307,40.748992222247296;-73.96823546285646,40.76938629305756;-74.1454057862053,0
data\face\lfw-deepfunneled/Roh_Moo-hyun/Roh_Moo-hyun_0010.jpg,1407,40.75810805497239;-73.98795311921846,40.75809988585079;-73.98802383006452,1
data\face\lfw-deepfunneled/Rebekah_Chantay_Revels/Rebekah_Chantay_Revels_0003.jpg,1328,40.75805022912109;-73.98551652639773,40.758062868672695;-73.98561959825838,1
data\face\lfw-deepfunneled/Luiz_Inacio_Lula_da_Silva/Luiz_Inacio_Lula_da_Silva_0039.jpg,994,40.7137913683865;-74.0066387923796,40.74888024470058;-73.96782048973517,0
data\face\lfw-deepfunneled/Kofi_Annan/Kofi_Annan_0016.jpg,908,40.75176734812006;-73.96783873319448,40.75162883477495;-73.96794009540419,1
data\face\lfw-deepfunneled/Colin_Powell/Colin_Powell_0157.jpg,309,40.712715090765116;-74.00568943380148,40.71278961905504;-74.00574172836016,1
data\face\lfw-deepfunneled/Boris_Becker/Boris_Becker_0002.jpg,190,40.75849378340288;-73.9852619342982,40.74877409218989;-73.9679963039409,0
data\face\lfw-deepfunneled/Colin_Powell/Colin_Powell_0065.jpg,309,40.71341292619982;-74.00801320913752,40.71352794518017;-74.00797440506162,1
data\face\lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0009.jpg,521,40.74930057557802;-73.96689832078883,40.75596925464712;-73.98749567727766,0
data\face\lfw-deepfunneled/Tang_Jiaxuan/Tang_Jiaxuan_0005.jpg,1535,40.71400733299649;-74.00653240617714,40.75735417296456;-73.98699700031587,0
data\face\lfw-deepfunneled/Bill_Clinton/Bill_Clinton_0027.jpg,160,40.75791590713699;-73.98549862368434,40.7579391920792;-73.98549889656641,1
data\face\lfw-deepfunneled/Gerhard_Schroeder/Gerhard_Schroeder_0045.jpg,537,40.75861285548045;-73.98334731943547,40.75869277682659;-73.98347791117652,1
data\face\lfw-deepfunneled/David_Wells/David_Wells_0003.jpg,354,40.71616647658321;-74.00607663246467,40.71620512337786;-74.00608642819554,1
data\face\lfw-deepfunneled/Tony_Blair/Tony_Blair_0087.jpg,1588,40.757859486418454;-73.98573572277861,40.75792326947568;-73.98565239167812,1
data\face\lfw-deepfunneled/Helen_Clark/Helen_Clark_0002.jpg,608,40.74946573732624;-73.96779547683724,40.7493811785889;-73.9677089220846,1
data\face\lfw-deepfunneled/Thomas_Rupprath/Thomas_Rupprath_0001.jpg,1555,40.995037529483774;-74.2545559243277,40.99508789681536;-74.25448906563058,1
data\face\lfw-deepfunneled/George_W_Bush/George_W_Bush_0056.jpg,532,40.7482098856188;-73.96809958142639,40.64714688699437;-74.24813254809595,0
data\face\lfw-deepfunneled/Hamid_Karzai/Hamid_Karzai_0022.jpg,584,40.712222304922584;-74.00781496656552,40.71232378127648;-74.00769526809422,1
data\face\lfw-deepfunneled/Hugo_Chavez/Hugo_Chavez_0063.jpg,630,40.71214885820967;-74.00460293010798,40.7121080871196;-74.00479837855431,1
data\face\lfw-deepfunneled/Juan_Carlos_Ferrero/Juan_Carlos_Ferrero_0012.jpg,840,40.758242195019776;-73.985208578292,40.758374819070674;-73.9850367155891,1
data\face\lfw-deepfunneled/Alejandro_Atchugarry/Alejandro_Atchugarry_0002.jpg,40,40.71279221642344;-74.0060515703642,40.75756526054873;-73.98458458810877,0
data\face\lfw-deepfunneled/Jeremy_Greenstock/Jeremy_Greenstock_0024.jpg,730,40.74882533712969;-73.96817956798209,40.74879826553181;-73.96822077830235,1
data\face\lfw-deepfunneled/Wen_Jiabao/Wen_Jiabao_0013.jpg,1640,40.71199582652102;-74.00588441290058,40.758527567917405;-73.98549900644967,0
data\face\lfw-deepfunneled/Jacques_Rogge/Jacques_Rogge_0003.jpg,657,40.71567436239294;-74.00642881744429,40.74868507511192;-73.96890090702188,0
data\face\lfw-deepfunneled/Thabo_Mbeki/Thabo_Mbeki_0001.jpg,1544,40.71169329363535;-74.00695560909264,40.71152502513527;-74.00703265316592,1
data\face\lfw-deepfunneled/Juan_Valencia_Osorio/Juan_Valencia_Osorio_0002.jpg,844,40.75773204121911;-73.9849103649524,40.71295163022156;-74.00614930363766,0
data\face\lfw-deepfunneled/John_Manley/John_Manley_0004.jpg,782,40.75812928283251;-73.9848375983802,40.71292090021341;-74.00591985606495,0
data\face\lfw-deepfunneled/Alberto_Ruiz_Gallardon/Alberto_Ruiz_Gallardon_0002.jpg,36,40.74965934839572;-73.96832834087276,40.74953670964137;-73.96825214019896,1
data\face\lfw-deepfunneled/Carla_Del_Ponte/Carla_Del_Ponte_0005.jpg,220,40.7488578593818;-73.96818000267113,40.74896143254223;-73.9682445978717,1
data\face\lfw-deepfunneled/Chung_Mong-hun/Chung_Mong-hun_0002.jpg,292,40.75803396147509;-73.98532916616129,40.75800044708442;-73.98529299719996,1
data\face\lfw-deepfunneled/James_Ivory/James_Ivory_0002.jpg,667,40.75785180748058;-73.98553102609758,40.7126555655064;-74.00559048649681,0
data\face\lfw-deepfunneled/Gerhard_Schroeder/Gerhard_Schroeder_0096.jpg,537,40.75074631176973;-73.96547247858194,40.82807304592372;-73.77088711950759,0
data\face\lfw-deepfunneled/Heizo_Takenaka/Heizo_Takenaka_0004.jpg,607,40.712495290011226;-74.00582682586005,40.74862882345416;-73.9684598541707,0
data\face\lfw-deepfunneled/Ariel_Sharon/Ariel_Sharon_0014.jpg,111,40.84452246830423;-73.93544246325521,40.84462200998101;-73.9353741150638,1
data\face\lfw-deepfunneled/Matt_Dillon/Matt_Dillon_0001.jpg,1075,40.71278773030799;-74.00593624366638,40.71271925709856;-74.00590197410585,1
data\face\lfw-deepfunneled/George_W_Bush/George_W_Bush_0146.jpg,532,40.71246981298992;-74.0060753356323,40.74894363052236;-73.96822328394991,0
data\face\lfw-deepfunneled/Taha_Yassin_Ramadan/Taha_Yassin_Ramadan_0010.jpg,1531,40.75625689864548;-73.98495241223014,40.71274119600957;-74.00620341546933,0
data\face\lfw-deepfunneled/Alec_Baldwin/Alec_Baldwin_0001.jpg,39,40.7489576938886;-73.96792409636609,40.712000151406805;-74.00559605787113,0
data\face\lfw-deepfunneled/Colin_Powell/Colin_Powell_0049.jpg,309,40.74879710763546;-73.9678318723508,40.69352500596744;-73.91166662996129,0
data\face\lfw-deepfunneled/Orlando_Bloom/Orlando_Bloom_0002.jpg,1214,40.7468517491478;-73.96832321403231,40.74686411715376;-73.96828362220374,1
data\face\lfw-deepfunneled/Chris_Byrd/Chris_Byrd_0001.jpg,275,40.7590567415332;-73.98750959090782,40.75894884587108;-73.9872249888188,1
data\face\lfw-deepfunneled/Emma_Watson/Emma_Watson_0004.jpg,441,40.748512661945504;-73.9684698788268,40.7487063147581;-73.96818337892975,1
data\face\lfw-deepfunneled/Princess_Elisabeth/Princess_Elisabeth_0002.jpg,1302,40.71253679770535;-74.00584518431167,40.748793856773645;-73.96782335563604,0
data\face\lfw-deepfunneled/Thierry_Falise/Thierry_Falise_0001.jpg,1549,40.70976826274113;-74.00708769964028,40.7581634639886;-73.9855106752951,0
data\face\lfw-deepfunneled/Vicente_Fox/Vicente_Fox_0014.jpg,1616,40.7488729754628;-73.96803982935916,40.75929206760651;-73.9845857574731,0
data\face\lfw-deepfunneled/John_Ashcroft/John_Ashcroft_0004.jpg,769,40.748950621467024;-73.96787186588233,40.71432544403945;-74.0055802360085,0
data\face\lfw-deepfunneled/Angelina_Jolie/Angelina_Jolie_0006.jpg,89,40.73653448462763;-73.9217563819774,40.73658632581548;-73.9217613612351,1
data\face\lfw-deepfunneled/Ricardo_Lagos/Ricardo_Lagos_0011.jpg,1333,40.74904384794087;-73.96784449968388,40.7489576938886;-73.96792409636609,1
data\face\lfw-deepfunneled/Jude_Law/Jude_Law_0001.jpg,846,40.74917805375867;-73.96812240698608,40.749158406397896;-73.96806947120614,1
data\face\lfw-deepfunneled/Matt_Damon/Matt_Damon_0004.jpg,1074,40.75796752819304;-73.9854889359081,40.74891987769523;-73.96793916141469,0
data\face\lfw-deepfunneled/Mariah_Carey/Mariah_Carey_0004.jpg,1023,40.746467642095105;-73.96850936852454,40.74649180236542;-73.96865850892631,1
data\face\lfw-deepfunneled/Vanessa_Williams/Vanessa_Williams_0001.jpg,1613,40.7481691956182;-73.96852788197673,40.758095234636585;-73.9860035040274,0
data\face\lfw-deepfunneled/Sandra_Bullock/Sandra_Bullock_0002.jpg,1448,40.74892261811077;-73.96799889933891,40.75748167490877;-73.98413226304322,0
data\face\lfw-deepfunneled/Lou_Piniella/Lou_Piniella_0001.jpg,984,40.712000151406805;-74.00559605787113,40.75873326896952;-73.98677802976722,0
data\face\lfw-deepfunneled/Pat_Cox/Pat_Cox_0002.jpg,1231,40.70978490669203;-74.00576777920523,40.7098901180413;-74.00570673627476,1
data\face\lfw-deepfunneled/Rolf_Eckrodt/Rolf_Eckrodt_0001.jpg,1409,40.711577422622426;-74.00644769523096,40.71144603496327;-74.00639199358918,1
data\face\lfw-deepfunneled/Tom_Reilly/Tom_Reilly_0002.jpg,1578,40.75800146841717;-73.98511539609792,40.75799388555295;-73.98514161148589,1
data\face\lfw-deepfunneled/Nestor_Kirchner/Nestor_Kirchner_0013.jpg,1189,40.7134348296868;-74.00800322235365,40.76022537450916;-73.9852954465279,0
data\face\lfw-deepfunneled/George_W_Bush/George_W_Bush_0232.jpg,532,40.78566000771655;-73.72812523249523,40.74610168234838;-73.96645701843082,0
data\face\lfw-deepfunneled/Junichiro_Koizumi/Junichiro_Koizumi_0034.jpg,856,40.76054856389968;-73.98634182482166,40.71410197436781;-74.00744224699756,0
data\face\lfw-deepfunneled/Pierce_Brosnan/Pierce_Brosnan_0008.jpg,1288,40.714413023016256;-74.0060506471721,40.74618015007099;-73.9695879158858,0
data\face\lfw-deepfunneled/Vincent_Brooks/Vincent_Brooks_0007.jpg,1624,40.71300467666623;-74.00576131713295,40.71280179658706;-74.00570660861916,1
data\face\lfw-deepfunneled/Bill_Gates/Bill_Gates_0015.jpg,162,40.711855484809924;-74.00455355131608,40.71197807637534;-74.004583990786,1
data\face\lfw-deepfunneled/Colin_Powell/Colin_Powell_0030.jpg,309,40.91927593882638;-73.74120164965726,40.91952458403968;-73.74114668354827,1
data\face\lfw-deepfunneled/Ariel_Sharon/Ariel_Sharon_0059.jpg,111,40.7126183119348;-74.00561605261821,40.56964834470355;-74.28663652695967,0
data\face\lfw-deepfunneled/Prince_Claus/Prince_Claus_0002.jpg,1293,40.71075240384874;-74.00571562261976,40.75802587155216;-73.98550144835758,0
data\face\lfw-deepfunneled/Colin_Farrell/Colin_Farrell_0003.jpg,306,40.74878695599979;-73.9680865535115,40.74889354071904;-73.96799320388439,1
data\face\lfw-deepfunneled/Colin_Powell/Colin_Powell_0126.jpg,309,40.71277318556656;-74.00594203236744,40.75750618951508;-73.98615204812923,0
data\face\lfw-deepfunneled/Al_Gore/Al_Gore_0005.jpg,27,40.709817712081325;-74.00736327327294,40.70973828866319;-74.00729057751617,1
data\face\lfw-deepfunneled/Arnold_Schwarzenegger/Arnold_Schwarzenegger_0001.jpg,116,40.656690961397324;-74.02260842021941,40.65668470321518;-74.02258313165136,1
data\face\lfw-deepfunneled/Sonia_Gandhi/Sonia_Gandhi_0003.jpg,1495,40.647159117417814;-74.24800555803137,40.64714688699437;-74.24813254809595,1
data\face\lfw-deepfunneled/Joschka_Fischer/Joschka_Fischer_0009.jpg,825,40.71287178620825;-74.0057832604705,40.74938624952873;-73.96819521458156,0
data\face\lfw-deepfunneled/Bill_Graham/Bill_Graham_0001.jpg,163,40.623753064284905;-74.25220649544147,40.7480787644645;-73.96940666975081,0
data\face\lfw-deepfunneled/Carla_Del_Ponte/Carla_Del_Ponte_0003.jpg,220,40.57383389674116;-74.04300586231723,40.57387316221898;-74.04312597930897,1
data\face\lfw-deepfunneled/Michael_Powell/Michael_Powell_0002.jpg,1107,40.712857398159606;-74.00563517356616,40.91501634181404;-74.27043580785033,0
data\face\lfw-deepfunneled/Andre_Agassi/Andre_Agassi_0023.jpg,78,40.74870723877872;-73.96651594584257,40.563240128345655;-74.05131141244739,0
data\face\lfw-deepfunneled/Ray_Romano/Ray_Romano_0001.jpg,1325,40.74773391488621;-73.9669600129645,40.75770495771371;-73.98519339021833,0
